aba	kapa
Meu cachorro é muito estimado.	Ña katchur i stimadu dimas.
Meu pai te estima muito.	Ña pape stimau tchiu.
A professora estimula o aluno.	Pursora ta nkoradja alunu.
O estômago me está doendo.	Stangu na den.
Vou estourar a tua bola.	Na rebenta bu bola.
Meu irmão tem estrabismo.	Ña ermon i n'ñeleli.
A estrada vai para o estádio de futebol.	Kamiñu bai pa stadiu di futubol.
O estrado da minha cama estragou.	Kontaplakadu di ña kama dana.
Feijão estragado não é bom.	Fison stragadu ka bon.
Estraguei os meus óculos.	N' dana ña okulus.
Houve um estrago na cidade.	I ten un danu na sidadi.
Sou um estrangeiro.	Ami i un strandjeru.
Houve um estrangulamento na cidade.	I ten un forkadura na tabanka.
Eles o estrangularam na semana passada.	E forkal na simana ki pasa.
O jacaré é um bicho estranho.	Djakare i bitchu strañu.
O rio é estreito demais.	Riu i pikininu dimas.
Vi a minha estrela no céu.	N' odja ña strela na seu.
Botei estrume na horta.	N' pui strumu na orta.
Teu filho comete uma estupidez todo dia.	Bu fidju ta fasi brutasku tudu dia.
Tu és um estúpido.	Abo i un stupidu.
Estupraste uma velha.	Bu bafa un mindjer garandi.
Não gosto de estupro.	N' ka gosta di bafa.
Vou esvaziar esta garrafa.	Na n' diskolontchi e bidon.
Minha camisa ficou esverdeada.	Ña kamisa i na torna verdi.
As mangas estão esverdeando.	Mangus na torna verdi.
Eu e minha namorada.	Ami ku ña badjuda.
Todos vão evacuar a casa.	Tudu na disa kasa.
A evaporação da água está fedendo.	Bapurason di yagu na fedi.
A fumaça está evaporando.	Fumu na bapura.
Vamos evitar a discussão.	No nvita diskutison.
Essa tensão é por causa da prova.	Es tenson i pabia di proba.
Isso vai exceder meu orçamento.	Es na pasa ña gañu.
Ele é excelente.	El spesial dimas.
Não é boa a excisão.	Fanadu di mindjer i ka bon.
Minha ferida está com excreção.	Ña tchaga sta ku materia.
O excremento foi tirado do meu corpo.	Koko tiradu ña kurpu.
Ele excretou para fora.	I na tira pa fora.
Vou executar aquele plano.	Na kumpri kil planu.
A polícia vai executá-lo agora mesmo.	Pulisia na matau gosigosi.
O exército foi para a guerra.	Izersitu bai pa gera.
Fizeste a apresentação no meio das pessoas.	Bu fasi aprizentason na metadi di djintis.
Estás exibindo os animais.	Bu na mostra limarias.
O padre está exorcizando o corpo.	Padri na tira diabu di kurpu.
Vamos fazer a expansão para todos os lados.	No na fasi spanson pa tudu ladu.
O professor vai dar a explicação hoje.	Pursor na da splikason aos.
Vou te explicar depois.	Na splikau dipus.
Uma bomba explodiu na praça.	Bumba rebenta na prasa.
A explosão da casa foi com força.	Rebentamentu di kasa ku forsa.
Será feita uma exposição na galeria de arte.	I na fasidu un riprizentason na kasa di arti.
O animal nos cercou na floresta.	Limaria na serkanu na matu.
Estou no exterior do país.	N' sta parti di fora di tera.
O chimpanzé está em extinção?	Dari sta na kaba?
Animais estão se extinguindo.	Limarias sta na kaba.
A minha família foi acabada pelo bandido.	Ña familia kabadu pa bandidu.
O engenheiro extraiu petróleo da terra.	Injiñeru tira pitroliu di tchon.
Peguei a faca para cortar pão.	N' pega faka pa korta pon.
A minha faca de cortar planta estragou.	Ña tarsadu di korta planta dana.
Essa facada está doendo.	Es fakada na den.
Vou te cutucar com o facão do meu pai.	Na kutulau ku tarsadu di ña pape.
Minha face é magra.	Ña kara magru.
Minha face é magra.	Ña rostu magru.
É fácil falar.	I fasil pa papia.
Devemos facilitar a vida.	No dibi di fasilita bida.
Estou com fadiga de trabalhar muito.	N' tene fadiga di tarbadja tchiu.
Saiu faísca do ferro.	I sai faiska di feru.
O fogo faísca de noite.	Fugu faiska di noti.
Minha mãe tem uma faixa para carregar bebê.	Ña mame tene bambaran.
Estou na faixa principal.	N' sta na faixa garandi.
Não sei qual é a idade da minha avó.	N' ka sibi kal ki idadi di ña dona.
Tua fala é medonha.	Bu fala i meduñu.
Estou falando com a minha namorada.	Na fala ku ña badjuda.
O falcão arrebata as coisas.	Falkon ta rabata kusas.
Tua falha é grave.	Bu falia gravi.
Falhaste com a hora combinada.	Bu falia ku ora kombinadu.
Tua falsidade é perigosa.	Bu falsidadi i pirigozu.
Tu és falso.	Abo bu falsu.
A falta de bancos na escola prejudica a aula.	Falta di bankus na skola prujudika aula.
Ele faltou à escola.	I falta skola.
Vou fazer fama no meu país.	Na fasi fama na ña tera.
Minha família é da Guiné-Bissau.	Ña familia i di Gine.
Minha família é pequena	Ña djorson pikininu.
O leão faminto matou a gazela.	Lion faimadu mata gazela.
O presidente é famoso na Guiné.	Prisidenti i famus na Gine-Bisau.
Vou estudar para ficar famoso.	Na studa pan sedu famus.
Vi um fantasma no cemitério.	N' odja fantasma na siminteru.
O agricultor guardou um fardo de palha.	Labradur guarda pakoti di padja.
O cachorro fareja a comida.	Katchur na tchera bianda.
As folhas farfalharam no chão.	Fodjas fafadja na tchon.
Farinha de bolo.	Foriña di bulu.
Essa fase da lua está boa.	Es fazi di lua sta bon.
Dá-me uma fatia de bolo.	Dan fatia di bulu.
Fatia uma parte para mim.	Fatia un parti pa mi.
Esse favo de mel é grande.	Es favu di mel garandi.
Teu namorado me fez um grande favor.	Bu rapas fasin fabur garandi.
O tempo está favorável.	Tempu sta favoravel.
Vou favorecer os meus colegas.	Na faburisi ña kolegas.
Tua fazenda é grande.	Bu ponta garandi.
Meu colega vai fazer uma festa.	Ña kolega na fasi festa.
A mulher fez uma cesta grande para roupa.	Mindjer kumpu kufu garandi pa ropa.
O medo fê-lo perder-se no mato.	Medu pirdintil na matu.
Faz barulho na sala.	I ta somna na sala.
Ele está me fazendo cócegas.	I na tchikinin.
Sabes fazer fogo no mato?	Bu sibi raspa fugu na matu?
Fiz fogo para acender um bastão.	N' fasi fugu pa peganda un po.
Vou fazer o seu prato agora.	Na bai sirbi bu kumida gosi.
Estou com febre hoje.	N' tene febri aos.
A casa foi fechada ontem.	Kasa fitchadu aonti.
Minha porta tem uma fechadura grande.	Ña porta tene fitchadura garandi.
Vai fechar a porta do carro.	Bai fitcha porta di karu.
Este lugar é um fedor.	E kau fedura.
Esse ambiente está fedorento.	Es kau tchera fedi.
Feijão é bom para a saúde.	Fison bon pa saudi.
Sou feio como o lobo.	Ami n' fiu suma lubu.
As pessoas fazem feitiçaria na cidade.	Djintis ta fasi futisaria na tabanka.
O feiticeiro fez um grande mal.	Futiseru fasi un mal garandi.
Fazem feitiço na aldeia.	E ta fasi futis na es tabanka.
Esse homem fez feitiço para sua esposa.	Es omi ta yanda muru pa si mindjer.
Esse livro foi um grande feito na história do país.	Es libru sedu garandi kuntisimentu na istoria di pais.
O meu feixe de lenha estragou.	Ña fis di leña dana.
O fel faz a carne estragar.	Fel ta fasi karni dana.
Eu tenho felicidade na minha família.	Ami n' tene filisidadi na ña familia.
Dou-vos minhas felicitações.	Na da bos ña parabens.
A minha mãe vos felicitou.	Ña mame filisita bos.
Estou feliz com o meu casamento.	N' sta felis ku ña kasamentu.
A fêmea do cachorro é bonita.	Femia di katchur bonitu.
Minha mãe é do gênero feminino.	Ña mame i femininu.
Aquela casa velha tem muitas fendas.	Ki kasa bedju tene manga di fenda.
O feno é bom para o gado.	Fenu bon pa baka.
Hoje é feriado nacional.	Aos i feriadu nasional.
Temos férias de duas semanas.	No tene feria di dus semana.
Tua ferida está saindo pus.	Bu tchaga na baba.
Meu irmão foi ferido.	Ña ermon fididu.
Tenho um ferimento por causa do desastre.	N' tene firida pabia di disastri.
Feri o bandido com a faca.	N' fidi bandidu ku faka.
Preciso fermentar a farinha.	N' dibi di fermenta foriña.
O fermento está caro no mercado.	Fermentu karu na fera.
Ele respondeu com ferocidade àquele comentário maldoso.	El i ruspundi ku brabesa kil kumentariu mau.
O leão é feroz.	Lion i feros.
O ferrão da abelha é diferente.	Feron di bagera i diferenti.
Aquele ferreiro faz picareta.	Ki fereru ta kumpu pikareta.
O ferro caiu na obra.	Feru kai na obra.
Este ferro está velho ao ponto de ter ferrugem.	E feru bedju toki tene ferus.
Vou utilizar aquela água fervente.	Na usa ki yagu ki firbi.
Vou ferver água para beber.	Na firbi yagu pa bibi.
A fervura da água foi demais.	Ferba di yagu dimas.
Haverá festa amanhã na universidade.	I ten festa amaña na universidadi.
Vamos festejar o aniversário.	No na fasi festa di anu.
Esse fetiche tem que acabar.	Es futisaria tene ku kaba.
O feto está crescendo na barriga da mãe.	Sangi sta na kirsi na bariga di mame.
Na idade média, a terra estava dividida em feudos na Europa.	Na idadi media, tera staba divididu di feudus na Europa.
Minha amiga nasceu no mês de fevereiro.	Ña amiga padidu na mis di febreru.
Ele jogou as fezes no quintal.	I bota koko na kintal.
A família pagou a fiança para o filho não ficar preso.	Familia paga fiansa pa fidju ka fika prindidu.
Vou fiar um colar.	Na fia un konta.
Meu sobrinho tem fibra.	Ña subriñu tene fibra.
Vou ficar aqui na praia.	Na fika li na praia.
Ele já ficou adulto.	El i torna dja garandi.
Ele ficou de pé desde ontem.	I firma desdi aonti.
Ele sempre fica para trás.	I ta fika tras sempri.
O fígado do boi é saboroso.	Figadu di baka sabi.
O figo é uma fruta difícil de ver.	Figu i un fruta difisil odja.
Tenho uma figueira na minha casa.	N' tene figera na ña kasa.
Entra na fila para seres atendido.	Entra na bixa pa bu atindidu.
A minha filha é bonita.	Ña fidju-femia bonita.
O meu filho é muito feio.	Ña fidju-matchu fiu mal.
Os filhos são para toda a vida.	Fidjus i pa tudu bida.
O filhote da onça desapareceu.	Fidju di onsa pirdi.
Estou filtrando a cana.	Na kua kana.
Meu filtro estragou ontem.	Ña kuadera dana aonti.
Corre até o fim da rua.	Kuri te fin di rua.
Tenho firmeza na minha decisão.	N' tene firmesa na ña disison.
No final nós vamos embora.	Na kabantada no na bai.
Vamos finalizar esse trabalho.	No na kabanta es tarbadju.
Vou fincar essa árvore aqui.	Na finka es arvuri li.
Estou vendo o teu fingimento.	N' sta na odja bo findjimentu.
Estás fingindo.	Bu sta na findji.
O rapaz está muito fino nessa festa.	Rapas sta finu mal nes festa.
O fio de energia está velho.	Fiu di lus sta bedju.
Estou aqui de pé te esperando.	N' firma li na perau.
Vou ficar firme na minha posição.	Na fika firmi na ña pozison.
O fiscal da cidade.	Fiskal di tabanka.
Estou fiscalizando a minha obra.	N' sta na kontrola ña obra.
Comprei um anzol para ir pescar.	N' kumpra un ansol pa bai piska.
Ele fisga muito bem.	El i ta piska ben.
Essa casa tem fissuras demais.	Es kasa tene fenda dimas.
O bebê tem uma fita laranja.	Bebe tene un fita larandja.
Já fixei um dia para a minha ida.	N' fixa dja un dia pa n' bai.
Ele sofre de flatulência se come muito feijão.	I ta pidi tchiu si kume fison tchiu.
Estou tocando flauta.	N' sta na toka flauta.
Mandei uma flecha para o mato.	N' manda un fretcha pa matu.
Tu és a minha flor.	Abo i ña flur.
Esta floresta é grande demais.	E floresta i garandi dimas.
Teu francês é fluente.	Bu papia ben na fransis.
Devo comprar fluido para o isqueiro.	N' dibi di kumpra gas pa iskeru.
O rio flui.	Riu sta na kuri.
A flutuação do câmbio faz a economia ficar ruim.	Mau manera di kambiu ta fasi ikonomia fika mal.
Ele flutua na praia.	I na boia na praia.
Ela faz fofoca da vida dos outros.	I ta fasi muntrundadi na bida di djintis.
Ele fofoca com as pessoas.	I ta n'gju-n'gju ku djintis.
Estou usando o fogão.	Sta na usa fugon.
Ele está brincando com o fogo.	I na brinka ku fugu.
A fogueira está acesa.	Fugu sta yardi.
A foice do meu tio está amolada.	N'oroto di ña tiu moladu.
Tenho folga hoje.	N' tene folga aos.
O sapato ficou folgado no pé.	Sapatu fika folgadu na pe.
Não vou folgar hoje porque o meu patrão me pediu para limpar a loja.	N' ka na folga aos pabia ña patron pidin pa n' limpa loja.
Meu nome está na folha de pagamento.	Ña nomi na fodja di pagamentu.
Essa folha de palmeira é grande.	Es padja di palmera garandi.
Eu tenho fome.	Ami n' tene fomi.
A fonte secou.	Fonti seku.
A planta está fora de casa.	Planta fora di kasa.
A corda da forca.	Korda di forka.
Ela tem mais força que ele.	I tene mas forsa ki el.
Não vou te forçar a fazer nada.	N' ka na forsidjau pa bu fasi nada.
O bandido forjou a morte.	Bandidu nventa mortu.
Vou forjar uma peça de metal.	Na forsa un kusa di metal.
Essa formiga é má.	Es furminga mau.
Encontrei um formigueiro no quintal.	N' odja un firmindjeru na kintal.
A fornalha esquenta a cidade.	Furnu ta kenta tabanka.
Tenho um forno em casa.	N' tene furnu na kasa.
Preciso da forquilha para apoiar o pé.	N' misti firkidja pa pui pe.
Gostaria de forrar a mesa.	N' gostaba di fora mesa.
O forro da casa é feito de gesso.	Foru di kasa i fasidu di jesu.
Quero fortalecer a nossa amizade.	N' misti raforsa no amigundadi.
Esse menino está forte.	Es mininu forti.
Ele está fraco.	I sta fraku.
Esse copo é frágil.	Es kopu fraji.
Nossa amizade está se fragilizando.	No amisadi na frakisi.
O caminhão derrubou o pedaço de pedra.	Kamion darma padas di pedra.
Meu frango é grande.	Ña frangu garandi.
Franzi a cara hoje.	N' dana rostu aos.
Meu frasco de pomada é grande.	Ña frasku di pumada garandi.
Minha frase tem sentido.	Ña frazi tene sintidu.
Ele vai fraudar a lei.	I na kamblatcha lei.
Ele quer a fraude na eleição.	I misti kamblatchu na ileison.
O meu freio não está pegando.	Ña travon ka na pega.
Estou na frente da igreja.	N' sta dianti di igreja.
Ele vem aqui frequentemente.	I ta bin li sempri.
Minha comida está fresca.	Ña bianda sta fresku.
Sinto um frescor na boca.	Na sinti freskura na boka.
Meu filho está sentindo a frieza da noite.	Ña fidju na sinti friesa di noti.
Minha frigideira está boa.	Ña fursidera sta bon.
O frio faz mal de manhã.	Friu ta fasi mal parmaña.
Gosto de fritar peixe.	N' gosta di frita pis.
Peixe frito é gostoso.	Pis fritu sabi.
A fritura da minha tia é gostosa.	Fritu di ña tia gustus.
Essa árvore é muito frondosa.	Es po garandi dimas.
A fronha do meu travesseiro molhou.	Froña di ña turbuseru modja.
A Guiné tem fronteira com Senegal.	Gine tene frontera ku Senegal.
A frouxidão da camisa evita o calor.	Kamisa lebi na ivita kalur.
Esse vestido não está frouxo.	Es bistidu ka yoli.
É bom comer uma fruta por dia.	I bon kume un fruta pa dia.
A mangueira já dá fruto.	Mangera na da dja frutu.
Ontem houve uma fuga na prisão.	Aonti i ten fuga na prizon.
Ele fugiu da polícia.	I fusi di pulisia.
Durante o incêndio na floresta, muita fuligem caiu sobre a cidade.	Na ora di kemansa na matu, manga di tisina kai na sidadi.
A fumaça tomou conta da minha casa.	Fumansa toma konta di ña kasa.
O meu colega fuma.	Ña kolega ta fuma.
O fumo do cachimbo é cheiroso.	Fumu pa kañutu tchera sabi.
O fundilho da calça descosturou.	Fundiñu di kalsa diskusi.
Vou fundir bronze para fazer um brinco.	Na fundi bronzi pa kumpu brinku.
O mar é fundo demais.	Mar fundu dimas.
Fui ao funeral do meu amigo.	N' bai nteru di ña amigu.
O pneu do meu carro está furado.	Roda di ña karu furadu.
Meu furador está afiado.	Ña furadur gudu.
Ele furou a minha bola no campo.	I fura ña bola na kampu.
Estou furioso com os meus colegas.	N' sta furiozu ku ña kolegas.
Minha blusa tem um furo.	Ña blusa tene buraku.
Tenho um furúnculo na perna.	N' tene frunku na perna.
Use o fuso para fiar essa lã.	Pui fusu pa fia es kabelu di karnel.
Eu terei um bom futuro.	Ami na tene bon futuru.
Nós somos dois no gabinete do diretor.	Anos i dus na gabineti di diretor.
Há muito gado na fazenda.	Ponta tene manga di gadu.
Os gafanhotos invadiram o país.	Ganfañoti invadi tera.
O aluno ficou gago porque estava nervoso.	Alunu fika gagu purki staba nervosu.
Ele está gaguejando.	I sta na gagisa.
Minha gaiola de pombas está suja.	Ña gaiola di pumbas susu.
Um galho da mangueira caiu.	Un ramu di mangera kai.
A galinha é criada na Guiné.	Galiña ta kriadu na Gine.
A galinha-d'angola está grande.	Galiña pintadu sta garandi.
Esse galo é mau.	Es galu mau.
Estou galopando com o meu cavalo.	Na djugta ku ña kabalu.
O cavalo saiu a galope.	Kabalu sai i na djugta.
Meu gancho de puxar madeira é grande.	Ña gantchu di puxa madera garandi.
Aquele homem é um garanhão.	Kil omi mansebu.
A garapa de cana-de-açúcar é gostosa.	Kalda di kana di asukar sabi.
A garça tem os pés compridos.	Garsa ta kumpridu pe.
Preciso de um garfo para pegar a comida.	N' misti garfu pa paña bianda.
Tu gostas muito de gargalhada.	Bu gosta di gargadjada dimas.
Estás gargalhando demais.	Bu sta na gargadja dimas.
Esse gargalo da garrafa é afiado.	Es garganti di garafa gudu.
Minha garganta é comprida.	Ña garganti kumpridu.
A chuva está numa garoa.	Tchuba na yeri-yeri.
A garra do pássaro machucou a criança.	Gara di pasaru molostra mininu.
A garrafa está cheia de cachaça.	Garafa sta tchiu di kana.
O gás acabou na minha casa.	Gas kaba na ña kau.
Gastar dinheiro com a namorada é bom.	Gasta diñeru ku badjuda i bon.
O gatinho se perdeu.	Gatusiñu pirdi.
Gato é bom de ter em casa.	Gatu bon tene na kasa.
O gavião voa alto.	Mañoti ta bua altu.
Há gazela no meu país.	Gasela ten na ña tera.
O gelo está difícil de comprar.	Djelu sta difisil kumpra.
Ovo tem gema.	Ovu tene djema.
Não gosto dessa gemeção.	N' ka gosta di es djimidura.
Ela é gêmea.	El i djemiu.
Ela está gemendo no hospital.	I sta na djimi na ospital.
Não gosto de ouvir esse gemido.	N' ka gosta di obi e djimidu.
Ele tem generosidade.	El i tene bontadi.
Meu pai é generoso.	Ña pape i bon.
Gosto de chá de gengibre.	N' gosta di tisana di djindjimbra.
Meu genro é um senhor muito calado.	Ña kunhadu i algin mansu.
Gente fala demais.	Djinti ta papia dimas.
Meu filho é gentil.	Ña fidju galanti.
Geralmente vou à escola de uniforme.	Normalmenti n' ta bai skola ku uniformi.
Para gerar um filho, é preciso muita responsabilidade.	Pa padi un mininu, i prisis manga di risponsabilidadi.
Ela fez pão com gergelim.	I fasi pon ku djisilin.
O germe de trigo é bom para emagrecer?	Ki kuku di trigu bon pa bati kurpu?
Houve germinação da semente.	Kuku nansi.
A semente vai germinar na terra.	Kuku na soronda na tchon.
Ele tem o gesso no pé.	I tene jesu na pe.
A gestação cansa.	Gravides ta kansa.
Ela gestou seu filho.	I konsibi si fidju.
Aquele homem é gigante.	Ki omi djiganti.
Há girafa no jardim.	Girafa ten na jardin.
Vou girar o meu carro para ir.	Na boltia ña karu pa bai.
O girino está nadando.	Fidju di sapu sta na nada.
O giz faz mal à saúde.	Djis ta fasi mal pa saudi.
A glande do pênis dele foi picada pelas abelhas.	Si kabesa di kodjon pikadu pa bagera.
Tive glória na vida.	N' tene gloria na bida.
A goiaba é saborosa.	Goiaba ta sabi.
Houve um golpe na Guiné.	I ten golpi na Gine.
A gonorreia é uma doença perigosa.	Skentamenti i duensa pirigozu.
Meu sobrinho é gordo.	Ña subriñu gurdu.
Muita gordura não é bom para a saúde.	Gurdura manga del i ka bon pa saudi.
Essa carne tem gordura.	Es karni tene gurdura.
Ela gosta de nós.	I gosta di nos.
Sinta o gosto dessa sopa.	Sinti gustu des sopa.
Esse peixe é gostoso.	Es pis gustus.
A gostosura nos leva à desgraça.	Gustundera ta punu mufunesa.
A gota de água está caindo.	Pingu di yagu na kai.
Há um gotejamento no quarto.	I ten pinga-pinga na kuartu.
Quando chove, a água goteja dentro da casa.	Ora ki na tchubi, yagu ta pinga na kasa.
Vou governar no meu país.	Na guberna na ña tera.
O governo está cumprindo os compromissos.	Reinansa na kumpri komprimisus.
O governo está cumprindo os compromissos.	Gubernu na kumpri kompromis.
Para de gozar de mim.	Para torosan.
Vou gozar hoje.	Na darma aos.
Não há graça nisso.	I ka ten garasa nes.
Pesou um grama.	I pesa un grama.
Meu país é grande.	Ña tera garandi.
A grandeza do mar é bonita de olhar.	Garandesa di mar i bonitu odja.
Chuva de granizo faz barulho.	Tchuba di pedra ta somna.
Gostei do bolo com granulado.	N' gosta di bulu ku tchokolatisiñu.
Na feira tem grão de feijão.	Na fera i ten garan di fijon.
Minha namorada está grávida.	Ña badjuda preña.
É preciso alimentar bem na gravidez.	I bon kume bon ora na gravides.
Vou passar graxa no meu sapato.	Na pui graxa na ña sapatu.
Minha grelha enferrujou.	Ña yasadera ferusa.
Assa aquela carne de porco para a gordura sair.	Grelia ki karni di purku pa gurdura sai.
Há greve na escola.	Grevi ten na skola.
O grilo faz barulho à noite.	Grilu ta somna di noti.
Estás gritando no meu ouvido.	Bu na girta na ña oredja.
Vou gritar para espantar as vacas.	Na pupa pa serka bakas.
Para essa gritaria que estás fazendo, sim.	Para es gritaria ku bu sta nel, sin.
Ouvi o grito da criança.	N' obi girtu di mininu.
Ele está fazendo uma grosseria.	I na fasi salbasaria.
Tu és muito grossa.	Abo bu gros.
O grunhido do cachorro me amedrontou.	N' medi manera di ronka di katchur.
Meu grupo perdeu.	Ña grupu pirdi.
Vou sair com meu guarda-chuva.	Na sai ku ña guarda tchuba.
Vou guardar minha casa.	Na guarda ña kasa.
A guelra do peixe ficou branca.	Gerla di pis fika branku.
Guerra não é bom.	Gera ka bon.
Vou guerrear para o meu país.	Na geria pa ña tera.
Este guerreiro é valente.	E geriadur i garandi.
O guia vai me mostrar o caminho.	Gia na mostran kamiñu.
Vou guiar o meu carro.	Na gia ña karu.
Há guindaste no porto de Bissau.	Diskargadur ten na purtu di Bisau.
Ele é hábil.	El i kapas.
Habilidade de um homem.	Djitu di un omi.
Minha habitação é grande.	Ña abitason garandi.
Ele é habitante daqui.	El i abitanti di li.
Vou habitar no Brasil.	Na bai abita na Brazil.
Meu hálito cheira bem.	Ña bafu tchera ben.
A harmonia é importante para viver.	Armunia importanti pa vivi.
Temos que harmonizar tudo.	No tene ku konserta tudu.
Ele sabe tocar harpa.	I pudi toka arpa.
Dá-me aquela haste.	Dan ki bara.
Há pessoas na minha casa.	I ten djintis na ña kasa.
Vou te dar uma herança.	Na dau yardansa.
Vou herdar o dinheiro da minha mãe.	Na bai yarda diñeru di ña mame.
Esse é o meu herdeiro.	Es i ña arderu.
Tens hérnia no escroto.	Bu tene erna na saku di obu.
Não vou hesitar porque a resposta é simples.	N' ka mbarasa pabia risposta simplis.
A hiena ri muito.	Lubu ri tchiu.
Vi um hipopótamo grande.	N' odja pis-kabalu garandi.
Já não há outra hipótese.	I ka ten dja utru ipotizi.
Conta-nos uma história.	Kontanu storia.
Vou à tua casa hoje.	Na bai bu kau aos.
Esse é um homem velho.	Es i omi bedju.
Vamos fazer-lhe uma homenagem.	No na fasil kumumorason.
Casa de morar é homônimo de "caça" de animais.	Kasa di mora tene mesmu nomi ku kasa di montia limarias.
Meu filho é homossexual.	Ña fidju i matchu-mindjer.
Eu sou honesto.	Ami n' seriu.
É uma honra receber tua visita.	I onra risibi bu bisita.
Estou honrado com o seu elogio.	N' sta onradu ku bu gardisimentus.
Devemos honrar nossos princípios.	No dibi di onra no manera.
Já está na hora de dormir.	Sta dja na ora di durmi.
Coloca-o na posição horizontal.	Pul na puzison orizontal.
Esta horta tem muitas árvores.	E orta tene arvuri manga del.
Vim buscar hospedagem.	N' bin buska osprindadi.
Hospedei minha mãe.	N' gasidja ña mame.
Sou hospedeiro de minha mãe.	Ami i gasidjadur di ña mame.
Eu tenho senso de humor.	Ami n' tene manera di gozu.
Ele ri muito com esse humorista.	I ri tchiu ku es fasidur di torosa.
Tenho pouca idade.	N' tene idadi pikininu.
Não sou um idiota.	Ami n' ka tulu.
Meu sogro é velho.	Ña dona bedju.
Vou à igreja rezar.	N' bai grisia raza.
Esses são todos iguais.	Esis tudu i memu.
Não o iguales com teu irmão.	Ka bu igualau ku bu ermon.
A iguana é um bicho bonito.	Linguana i bitchu bonitu.
Matar uma pessoa é ilegal.	Mata pekadur i kontra lei.
Estou na ilha de Bijagós.	N' sta na djiu di Bidjugu.
Não há iluminação na floresta.	Lumiason ka ten na matu.
A casa está iluminada de noite.	Kasa sta lumiadu di noti.
O fogo ilumina a casa.	Fugu na lumia kasa.
Meu irmão é um imã.	Ña ermon i un almami.
Tenho a tua imagem no meu quarto.	N' tene bu imajen na ña kuarti.
Estás na minha imaginação.	Bu sta na ña majinason.
Estás imaginando coisas.	Bu na majina kusas.
Ele é ainda um jovem imaturo.	El i un mininu kru inda.
Sai daqui imediatamente.	Sai li diretamenti.
Isso é uma coisa imensa.	Es i un kusa garandi.
Gostas de imitação de biquine.	Bu gosta di imitason di bikini.
Gostas de imitar teu irmão.	Bu gosta di kopia bu ermon.
Gostas de imitar os lutadores.	Bu gosta di imita lutaduris.
Eu te impedi de ir jogar.	N' tudjiu bai djuga.
Não sejas impaciente, ele vai chegar.	Ka bu sedu ardigadu, i na bin.
O motorista impediu a saída do carro.	Motorista tudji saida di karu.
Tu és impetuoso demais.	Abo bu turmentadu dimas.
Tu és ímpio.	Abo i impiu.
Estou te implorando que me ajudes.	Na pidiu djudan.
Tu és muito importante para mim.	Abo i tchiu importanti pa mi.
Não gostas de pagar imposto.	Bu ka gosta di paga mpustu.
Tu és impotente.	Abo bu ka ta lanta.
A imprensa tem liberdade aqui.	Imprensa tene liberdadi li.
Imprensa a tampa do bujão com força.	Perta tampu di bidon ku forsa.
Tira aquela imundície daqui.	Tira ki susidadi li.
Esta roupa está imunda.	E ropa susu.
Há um incêndio na cidade.	Kemansa ten na sidadi.
O futuro é incerto aqui.	Futuru insertu li.
Minha mãe tem inchaço no pé.	Ña mame tene intchasku na pe.
Meus olhos incharam.	Ña udju intcha.
O médico fez uma incisão no pé.	Mediku fasi korti na pe.
Estás incitando uma rebelião.	Bu na tchutchi labantamentu.
A poltrona do ônibus tem inclinação para trás.	Banku di autokarus tene nklinason pa tras.
Minha cadeira está inclinada.	Ña kadera sta nklinadu.
Enclinaste a cadeira.	Bu nklina kadera.
Inclinei-me para comer pão.	N' n'uñi pa kume pon.
A galinha vai incubar os ovos.	Galiña na tchoka si obus.
Minha calça é índigo.	Ña kalsa i dongri.
Na minha infância, eu brinquei muito.	Na ña mininesa, n' brinka tchiu.
Tens uma infecção na barriga.	Bu tene infeson na bariga.
Não me infectes com o vírus.	Ka bu infetan ku virus.
Tenho um cargo inferior ao do meu colega de trabalho.	N' tene kargu mas pikininu di ki ña kolega di tarbadju.
Vais para o inferno.	Bu na bai nfernu.
Minha barriga inflou.	Ña bariga intchi.
Vai passar a informação.	Bai pasa informason.
Não informes a ninguém.	Ka bu nforma ningin.
Ele cometeu uma infração de trânsito grave.	I kumiti un eru di transitu gravi.
O inhame já está cozido.	Ñambi sta dja kusidu.
Teu filho passou pela iniciação masculina ontem.	Bu fidju fasi fanadu aonti.
Estudo desde o começo das aulas.	N' studa desdi kumsada di aula.
Tu és meu inimigo.	Abo i ña inimigu.
Tenho medo de injeção.	N' ta medi ndjeson.
É uma injúria o que você disse contra a minha mãe.	I un ndjuria ke ku bu fala kontra ña mame.
A inocência da criança é grande.	Nosensia di mininu garandi.
Tu és inocente.	Abo i nosenti.
O bebê é inquieto à noite.	Bebe bulidur di noti.
Tu tens insanidade, procura o médico.	Bu tene dudesa, prukura mediku.
Tu és doido.	Abo bu dudu.
Aceitaram a tua inserção no time.	E seta bu yentrada na ekipa.
Vamos inserir o seu nome no projeto.	No na pui bu nomi na projetu.
Tenho medo de inseto.	N' ta medi insetu.
Foi feita uma inspeção na escola.	I fasi inspeson na skola.
Estou inspecionando seu comportamento.	Na djubi si komportamentu.
Tu és inspetor de polícia.	Abo i djubidur di pulisia.
A empresa está passando por uma instabilidade financeira.	Impresa sta na pasa un mal situason di diñeru.
Tu não tocas corá.	Bu ka ta toka kora.
Esta comida é insuficiente.	E kumida insufisienti.
Gostas de insultar teu irmão.	Bu gosta di koba bu ermon mal.
Para de insultar teu colega.	Para koba bu kolega mal.
Eu comi o bolo inteiro.	Ami n' kume buldu ntidu.
